종목코드,종목명,시장구분,종가,거래량,등락률
083450,GST,KOSDAQ,18460,206289,1.15
088980,맥쿼리인프라,KOSPI,10990,577669,1.1
003550,LG,KOSPI,65000,176565,1.09
078930,GS,KOSPI,37300,136487,1.08
081660,휠라홀딩스,KOSPI,38400,161202,1.05
267260,HD현대일렉트릭,KOSPI,303000,154628,1.0
000080,하이트진로,KOSPI,19430,127397,0.99
030520,한글과컴퓨터,KOSDAQ,18480,160083,0.98
094170,동운아나텍,KOSDAQ,20950,114079,0.96
003490,대한항공,KOSPI,21500,749762,0.94
071970,HD현대마린엔진,KOSPI,27250,255709,0.93
010950,S-Oil,KOSPI,56700,262288,0.89
000490,대동,KOSPI,10230,111717,0.89
115500,케이씨에스,KOSDAQ,10560,159089,0.86
032830,삼성생명,KOSPI,83500,163085,0.85
092790,넥스틸,KOSPI,12500,633482,0.81
030000,제일기획,KOSPI,18100,229949,0.78
102120,어보브반도체,KOSDAQ,10280,182565,0.78
281820,케이씨텍,KOSPI,32900,108602,0.77
001440,대한전선,KOSPI,11510,557495,0.7
001680,대상,KOSPI,23450,110954,0.64
302440,SK바이오사이언스,KOSPI,39450,114983,0.64
034020,두산에너빌리티,KOSPI,23850,3603990,0.63
139480,이마트,KOSPI,80200,114010,0.63
206640,바디텍메드,KOSDAQ,15900,110889,0.63
382150,온코크로스,KOSDAQ,10050,631120,0.6
082270,젬백스,KOSDAQ,33500,333354,0.6
042000,카페24,KOSDAQ,50900,142402,0.59
259960,크래프톤,KOSPI,340000,166587,0.59
098460,고영,KOSDAQ,13800,842464,0.58
138040,메리츠금융지주,KOSPI,121800,210730,0.58
080160,모두투어,KOSDAQ,10860,179894,0.56
009420,한올바이오파마,KOSPI,27800,271049,0.54
032640,LG유플러스,KOSPI,10300,669254,0.49
009540,HD한국조선해양,KOSPI,203500,219781,0.49
047920,HLB제약,KOSDAQ,20750,144077,0.48
005830,DB손해보험,KOSPI,89100,103486,0.45
031210,서울보증보험,KOSPI,34250,340965,0.44
000270,기아,KOSPI,93200,656473,0.43
000720,현대건설,KOSPI,36400,833313,0.41
103590,일진전기,KOSPI,25400,210321,0.4
007390,네이처셀,KOSDAQ,28700,1344352,0.35
083650,비에이치아이,KOSDAQ,17320,413214,0.35
016360,삼성증권,KOSPI,45350,237610,0.33
009520,포스코엠텍,KOSDAQ,12400,129035,0.32
042660,한화오션,KOSPI,69300,2213169,0.29
182360,큐브엔터,KOSDAQ,17300,314588,0.29
278470,에이피알,KOSPI,70700,363105,0.28
353200,대덕전자,KOSPI,15860,198468,0.25
163280,에어레인,KOSDAQ,16180,970918,0.25
095340,ISC,KOSDAQ,52700,155998,0.19
005930,삼성전자,KOSPI,58800,13841706,0.17
440110,파두,KOSDAQ,11580,110861,0.09
035250,강원랜드,KOSPI,16690,666665,0.06
